Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",11.4935,24.8920,0.0000,bottom
"C2","100nF","SMD-0805",11.4935,26.9240,0.0000,bottom
"C3","10uF","SMD-0805",17.7800,19.6215,-90.0000,bottom
"C4","6.8pf","SMD-0805",48.3870,19.9136,-90.0000,bottom
"C5","10uF","SMD-0805",5.7150,19.6850,-90.0000,bottom
"C6","6.8pf","SMD-0805",46.9900,29.8450,90.0000,bottom
"C7","15pF","SMD-0805",44.5770,19.9136,-90.0000,bottom
"C8","15pF","SMD-0805",43.8150,29.8450,90.0000,bottom
"C9","8,2pF","SMD-0805",39.4970,19.9136,-90.0000,bottom
"C10","8,2pF","SMD-0805",40.6400,29.8450,90.0000,bottom
"C11","8,2pF","SMD-0805",34.9250,22.2250,90.0000,bottom
"C12","2.7pF","SMD-0805",37.4650,26.6700,0.0000,bottom
"C13","5.1pF","SMD-0805",36.5760,32.3215,90.0000,bottom
"C14","10nF","SMD-0805",19.6850,19.6850,-90.0000,bottom
"C15","33pF","SMD-0805",33.2740,15.8750,-90.0000,bottom
"C16","100nF","SMD-0805",19.6850,23.4950,90.0000,bottom
"C17","100pF","SMD-0805",35.3060,15.8750,-90.0000,bottom
"C18","10uF","SMD-0805",21.5900,19.6850,-90.0000,bottom
"C19","100nF","SMD-0805",37.4650,12.7000,-90.0000,bottom
"C20","10uF","SMD-0805",31.2420,15.9385,-90.0000,bottom
"C22","10nF","SMD-0805",32.3850,2.5400,-90.0000,bottom
"C23","10nF","SMD-0805",29.8450,2.5400,-90.0000,bottom
"C25","10nF","SMD-0805",30.4800,32.3850,-90.0000,bottom
"C26","10nF","SMD-0805",34.5440,36.2585,90.0000,bottom
"C27","10nF","SMD-0805",19.6850,2.5400,-90.0000,bottom
"C28","10nF","SMD-0805",17.1450,2.5400,-90.0000,bottom
"D1","M4","Diode-MiniMELF_Standard",8.2550,27.3050,90.0000,bottom
"D2","RED","LED_1206",48.5140,4.3180,90.0000,bottom
"D3","GREEN","LED_1206",44.9580,4.3180,90.0000,bottom
"L1","0R","SMD-0805",49.5300,23.1140,180.0000,bottom
"L2","0R","SMD-0805",48.8950,26.6700,180.0000,bottom
"L3","18nH","SMD-0805",45.8470,23.0886,180.0000,bottom
"L4","18nH","SMD-0805",45.0850,26.6700,180.0000,bottom
"L5","18nH","SMD-0805",42.0370,23.0886,180.0000,bottom
"L6","18nH","SMD-0805",41.2750,26.6700,180.0000,bottom
"L7","39nH","SMD-0805",38.2270,23.0886,180.0000,bottom
"L8","220nH","SMD-0805",37.4650,20.3200,90.0000,bottom
"L9","56nH","SMD-0805",37.4650,29.2100,180.0000,bottom
"L10","56nH","SMD-0805",34.2900,27.9400,-90.0000,bottom
"Q1","BC817","SOT-23",48.0060,12.9540,0.0000,bottom
"Q2","BC817","SOT-23",44.1960,12.9540,0.0000,bottom
"R1","0R","SMD-0805",39.4335,16.0020,180.0000,bottom
"R2","33R","SMD-0805",19.0500,32.3850,-90.0000,bottom
"R3","33R","SMD-0805",21.5900,32.3850,-90.0000,bottom
"R4","33R","SMD-0805",24.1300,32.3850,-90.0000,bottom
"R5","33R","SMD-0805",26.6700,32.3850,-90.0000,bottom
"R6","33R","SMD-0805",24.7650,12.0650,90.0000,bottom
"R7","33R","SMD-0805",19.6850,12.0650,90.0000,bottom
"R8","33R","SMD-0805",17.1450,12.0650,90.0000,bottom
"R9","33R","SMD-0805",14.6050,12.0650,90.0000,bottom
"R10","33R","SMD-0805",12.0650,12.0650,90.0000,bottom
"R11","33R","SMD-0805",11.4300,32.3850,-90.0000,bottom
"R12","33R","SMD-0805",13.9700,32.3850,-90.0000,bottom
"R13","33R","SMD-0805",34.9250,12.0650,90.0000,bottom
"R14","33R","SMD-0805",16.5100,32.3850,-90.0000,bottom
"R15","33R","SMD-0805",27.3050,12.0650,90.0000,bottom
"R16","33R","SMD-0805",32.3850,12.0650,90.0000,bottom
"R17","33R","SMD-0805",29.8450,12.0650,90.0000,bottom
"R18","33R","SMD-0805",28.5750,32.3850,-90.0000,bottom
"R19","33R","SMD-0805",32.5120,32.4485,-90.0000,bottom
"R20","1k","SMD-0805",16.5100,27.8765,90.0000,bottom
"R21","0R","SMD-0805",26.2255,14.9860,180.0000,bottom
"R22","150R","SMD-0805",48.5140,9.1440,90.0000,bottom
"R23","150R","SMD-0805",44.9580,9.2075,90.0000,bottom
"U1","LM1117","SOT-223",12.0650,19.6850,90.0000,bottom
"U2","Si1060-A-GM","QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm_ThermalVias",27.3050,20.9550,-90.0000,bottom
"Y2","ABM3B-30.000MHZ-10-1-U-T","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",28.5750,28.0100,180.0000,bottom
