Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C_Small,C12,2.7pF,SMD-0805,1,,5c70984712875079b91f8b28
2,,C_Small,C13,5.1pF,SMD-0805,1,,5c70984812875079b91f8ba2
3,,C_Small,C4C6,6.8pf,SMD-0805,2,,5c70984712875079b91f8b2e
4,,C_Small,C7C8,15pF,SMD-0805,2,,5c70984712875079b91f8b32
5,,C_Small,C15,33pF,SMD-0805,1,,5c70984712875079b91f8b37
6,,C_Small,C9C10C11,"8,2pF",SMD-0805,3,,5c70984712875079b91f8b2f
7,,C_Small,C17,100pF,SMD-0805,1,,5c70984712875079b91f8b3b
8,,C_Small,C14C22C23C25C26C27C28,10nF,SMD-0805,7,,5c70984712875079b91f8b49
9,,C_Small,C2C16C19,100nF,SMD-0805,3,,5c70984712875079b91f8b4c
10,,C_Small,C1C3C5C18C20,10uF,SMD-0805,5,,5c70984812875079b91f8bbd
11,,EMI_Filter_C,C21,NFM21PC105,FIR1,1,http://www.murata.com/~/media/webrenewal/support/library/catalog/products/emc/emifil/c31e.ashx?la=en-gb,
12,,LED,D3,GREEN,LED_1206,1,,5c70984412875079b91f8895
13,,D_ZENER,D1,M4,Diode-MiniMELF_Standard,1,,5c70984512875079b91f88ac
14,,LED,D2,RED,LED_1206,1,,5c70984412875079b91f8896
15,,HEADER_1x02,J24J25,HEADER_1x02,Straight_1x02,2,,
16,,HEADER_2x01_PARALLEL,J6J7J8J9J10J11J12J13J14J15J16J17J18J19J20J21J22J23J26,HEADER_2x01_PARALLEL,Straight_2x01,19,,
17,,JUMP_3X2,J1J4,JUMP_3X2,Straight_2x03,2,,
18,,SMA,J2J3,SMA,SMA6251A13G50,2,,5c70984412875079b91f87ac
19,,L_Small,L1L2,0R,SMD-0805,2,,5c70984512875079b91f896b
20,,L_Small,L3L4L5L6,18nH,SMD-0805,4,,5c70984412875079b91f8806
21,,L_Small,L7,39nH,SMD-0805,1,,5c70984412875079b91f8809
22,,L_Small,L9L10,56nH,SMD-0805,2,,5c70984812875079b91f8ba4
23,,L_Small,L8,220nH,SMD-0805,1,,5c70984412875079b91f880d
24,,Q_NPN_BEC,Q1Q2,BC817,SOT-23,2,,5c70984712875079b91f8aec
25,,R,R1R21,0R,SMD-0805,2,,5c70984512875079b91f896b
26,,R,R2R3R4R5R6R7R8R9R10R11R12R13R14R15R16R17R18R19,33R,SMD-0805,18,,5c70984512875079b91f8970
27,,R,R22R23,150R,SMD-0805,2,,5c70984512875079b91f897a
28,,R,R20,1k,SMD-0805,1,,5c70984512875079b91f898c
29,,LM1117,U1,LM1117-3V3,SOT-223,1,,5c70984712875079b91f8af9
30,,Si1060-A-GM,U2,Si1060-A-GM,QFN-36-1EP_5x6mm_P0.5mm_EP3.6x4.1mm_ThermalVias,1,https://www.silabs.com/documents/public/data-sheets/Si106x-8x.pdf,5c70984812875079b91f8ba3
31,,Crystal_GND24,Y2,ABM3B-30.000MHZ-10-1-U-T,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,,5c70984712875079b91f8ba1
32,,Crystal,Y1,ABS07-120-32.768KHZ,ABS07,1,,5c70984712875079b91f8b1b
