Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","JUMP_3X2","Straight_2x03",126.3920,-95.9627,0.0000,top
"J2","SMA","SMA6251A13G50",178.4620,-106.7577,0.0000,top
"J3","SMA","SMA6251A13G50",178.4620,-95.9627,0.0000,top
"J4","JUMP_3X2","Straight_2x03",126.3920,-109.0437,0.0000,top
"J6","HEADER_2x01_PARALLEL","Straight_2x01",141.6320,-85.8027,90.0000,top
"J7","HEADER_2x01_PARALLEL","Straight_2x01",144.1720,-85.8027,90.0000,top
"J8","HEADER_2x01_PARALLEL","Straight_2x01",146.7120,-85.8027,90.0000,top
"J9","HEADER_2x01_PARALLEL","Straight_2x01",149.2520,-85.8027,90.0000,top
"J10","HEADER_2x01_PARALLEL","Straight_2x01",147.3470,-115.0127,90.0000,top
"J11","HEADER_2x01_PARALLEL","Straight_2x01",142.2670,-115.0127,-90.0000,top
"J12","HEADER_2x01_PARALLEL","Straight_2x01",139.7270,-115.0127,90.0000,top
"J13","HEADER_2x01_PARALLEL","Straight_2x01",137.1870,-115.0127,-90.0000,top
"J14","HEADER_2x01_PARALLEL","Straight_2x01",134.6470,-115.0127,-90.0000,top
"J15","HEADER_2x01_PARALLEL","Straight_2x01",134.0120,-85.8027,90.0000,top
"J16","HEADER_2x01_PARALLEL","Straight_2x01",136.5520,-85.8027,90.0000,top
"J17","HEADER_2x01_PARALLEL","Straight_2x01",157.5070,-115.0127,90.0000,top
"J18","HEADER_2x01_PARALLEL","Straight_2x01",139.0920,-85.8027,90.0000,top
"J19","HEADER_2x01_PARALLEL","Straight_2x01",149.8870,-115.0127,90.0000,top
"J20","HEADER_2x01_PARALLEL","Straight_2x01",154.9670,-115.0127,90.0000,top
"J21","HEADER_2x01_PARALLEL","Straight_2x01",152.4270,-115.0127,90.0000,top
"J22","HEADER_2x01_PARALLEL","Straight_2x01",151.7920,-85.8027,90.0000,top
"J23","HEADER_2x01_PARALLEL","Straight_2x01",154.3320,-85.8027,90.0000,top
"J24","HEADER_1x02","Straight_1x02",163.7300,-117.2987,180.0000,top
"J25","HEADER_1x02","Straight_1x02",161.1900,-117.2987,180.0000,top
"J26","HEADER_2x01_PARALLEL","Straight_2x01",144.8070,-115.0127,90.0000,top
"M1","HOLE","MountingHole_3mm",127.6620,-87.0727,0.0000,top
"M2","HOLE","MountingHole_3mm",178.4620,-117.5527,0.0000,top
"M3","HOLE","MountingHole_3mm",127.6620,-117.5527,0.0000,top
"M4","HOLE","MountingHole_3mm",188.6220,-87.0727,0.0000,top
